Name;Edition;Qty;Rarity;Color;Cost;Type;P/T;Text;Comment
Seraph Sanctuary;AVR;1;C;Lnd;;Land;;"When Seraph Sanctuary enters the battlefield, you gain 1 life.
Whenever an Angel enters the battlefield under your control, you gain 1 life.
%T: Add %1 to your mana pool.";
Scroll of Avacyn;AVR;2;C;Art;1;Artifact;;%1, Sacrifice Scroll of Avacyn: Draw a card. If you control an Angel, you gain 5 life.;
Bladed Bracers;AVR;1;C;Art;1;Artifact - Equipment;;"Equipped creature gets +1/+1.
As long as equipped creature is a Human or an Angel, it has vigilance.
Equip %2 #(%2: Attach to target creature you control. Equip only as a sorcery.)#";
Vampiric Fury;ISD;2;C;R;1R;Instant;;Vampire creatures you control get +2/+0 and gain first strike until end of turn.;
Gather the Townsfolk;DKA;1;C;W;1W;Sorcery;;"Put two 1/1 white Human creature tokens onto the battlefield.
#Fateful hour# ﾗ If you have 5 or less life, put five of those tokens onto the battlefield instead.";
Commander's Authority;AVR;1;U;W;4W;Enchantment - Aura;;"Enchant creature
Enchanted creature has ﾓAt the beginning of your upkeep, put a 1/1 white Human creature token onto the battlefield.ﾔ";
Bonds of Faith;ISD;2;C;W;1W;Enchantment - Aura;;"Enchant creature
Enchanted creature gets +2/+2 as long as itﾒs a Human. Otherwise, it canﾒt attack or block.";
Heavy Mattock;DKA;1;C;Art;3;Artifact - Equipment;;"Equipped creature gets +1/+1.
As long as equipped creature is a Human, it gets an additional +1/+1.
Equip %2 #(%2: Attach to target creature you control. Equip only as a sorcery.)#";
Ghoulcaller's Bell;ISD;1;C;Art;1;Artifact;;%T: Each player puts the top card of his or her library into his or her graveyard.;
Urgent Exorcism;ISD;1;C;W;1W;Instant;;Destroy target Spirit or enchantment.;
Thought Scour;DKA;1;C;U;U;Instant;;"Target player puts the top two cards of his or her library into his or her graveyard.
Draw a card.";
Curse of the Bloody Tome;ISD;1;C;U;2U;Enchantment - Aura Curse;;"Enchant player
At the beginning of enchanted playerﾒs upkeep, that player puts the top two cards of his or her library into his or her graveyard.";
Ghoulcaller's Chant;ISD;1;C;B;B;Sorcery;;"Choose one ﾗ Return target creature card from your graveyard to your hand; or return two target Zombie cards from your graveyard to your hand.";
Dead Weight;ISD;1;C;B;B;Enchantment - Aura;;"Enchant creature
Enchanted creature gets -2/-2.";
Victim of Night;ISD;2;C;B;BB;Instant;;Destroy target non-Vampire, non-Werewolf, non-Zombie creature.;
Traitorous Blood;ISD;1;C;R;1RR;Sorcery;;Gain control of target creature until end of turn. Untap it. It gains trample and haste until end of turn.;
Brimstone Volley;ISD;1;C;R;2R;Instant;;"Brimstone Volley deals 3 damage to target creature or player.
#Morbid# ﾗ Brimstone Volley deals 5 damage to that creature or player instead if a creature died this turn.";
Demolish;AVR;1;C;R;3R;Sorcery;;Destroy target artifact or land.;
Pillar of Flame;AVR;2;C;R;R;Sorcery;;Pillar of Flame deals 2 damage to target creature or player. If a creature dealt damage this way would die this turn, exile it instead.;
Natural End;AVR;1;C;G;2G;Instant;;Destroy target artifact or enchantment. You gain 3 life.;
Prophetic Prism;CMD;1;C;Art;2;Artifact;;"When Prophetic Prism enters the battlefield, draw a card.
%1, %T: Add one mana of any color to your mana pool.";
Paralyzing Grasp;ZEN;1;C;U;2U;Enchantment - Aura;;"Enchant creature
Enchanted creature doesnﾒt untap during its controllerﾒs untap step.";
Conjured Currency;RTR;1;R;U;5U;Enchantment;;At the beginning of your upkeep, you may exchange control of Conjured Currency and target permanent you neither own nor control.;
Izzet Charm;RTR;2;U;Gld;UR;Instant;;"Choose one ﾗ Counter target noncreature spell unless its controller pays %2; or Izzet Charm deals 2 damage to target creature; or draw two cards, then discard two cards.";
Inspiration;RTR;1;C;U;3U;Instant;;Target player draws two cards.;
Mystic Genesis;GTC;1;R;Gld;2GUU;Instant;;Counter target spell. Put an X/X green Ooze creature token onto the battlefield, where X is that spellﾒs converted mana cost.;
Naturalize;GTC;2;C;G;1G;Instant;;Destroy target artifact or enchantment.;
Chorus of Might;RTR;2;C;G;3G;Instant;;Until end of turn, target creature gets +1/+1 for each creature you control and gains trample.;
Syncopate;RTR;1;U;U;XU;Instant;;Counter target spell unless its controller pays %X. If that spell is countered this way, exile it instead of putting it into its ownerﾒs graveyard.;
Undercity Plague;GTC;1;R;B;4BB;Sorcery;;"Target player loses 1 life, discards a card, then sacrifices a permanent.
Cipher #(Then you may exile this spell card encoded on a creature you control. Whenever that creature deals combat damage to a player, its controller may cast a copy of the encoded card without paying its mana cost.)#";
Counterflux;RTR;1;R;Gld;UUR;Instant;;"Counterflux canﾒt be countered by spells or abilities.
Counter target spell you donﾒt control.
Overload %1%U%U%R #(You may cast this spell for its overload cost. If you do, change its text by replacing all instances of ﾓtargetﾔ with ﾓeach.ﾔ)#";
Savage Surge;RTR;1;U;G;1G;Instant;;Target creature gets +2/+2 until end of turn. Untap that creature.;
Paralyzing Grasp;RTR;2;C;U;2U;Enchantment - Aura;;"Enchant creature
Enchanted creature doesnﾒt untap during its controllerﾒs untap step.";
Selesnya Keyrune;RTR;1;U;Art;3;Artifact;;"%T: Add %G or %W to your mana pool.
%G%W: Selesnya Keyrune becomes a 3/3 green and white Wolf artifact creature until end of turn.";
Psychic Spiral;RTR;1;U;U;4U;Instant;;Shuffle all cards from your graveyard into your library. Target player puts that many cards from the top of his or her library into his or her graveyard.;
Survey the Wreckage;RTR;1;C;R;4R;Sorcery;;Destroy target land. Put a 1/1 red Goblin creature token onto the battlefield.;
Rakdos Guildgate;DGM;6;C;Lnd;;Land - Gate;;"Rakdos Guildgate enters the battlefield tapped.
%T: Add %B or %R to your mana pool.";
Swamp (5);RTR;1;C;Lnd;;Basic Land - Swamp;;;
Forest (3);M13;1;C;Lnd;;Basic Land - Forest;;;
Plains (1);ISD;1;C;Lnd;;Basic Land - Plains;;;
Mountain (4);RTR;1;C;Lnd;;Basic Land - Mountain;;;
Island (2);M13;1;C;Lnd;;Basic Land - Island;;;
Rakdos's Return;RTR;1;M;Gld;XBR;Sorcery;;Rakdosﾒs Return deals X damage to target opponent. That player discards X cards.;
Slaughter Games;RTR;2;R;Gld;2BR;Sorcery;;"Slaughter Games canﾒt be countered by spells or abilities.
Name a nonland card. Search target opponentﾒs graveyard, hand, and library for any number of cards with that name and exile them. Then that player shuffles his or her library.";
Detention Sphere;RTR;1;R;Gld;1WU;Enchantment;;"When Detention Sphere enters the battlefield, you may exile target nonland permanent not named Detention Sphere and all other permanents with the same name as that permanent.
When Detention Sphere leaves the battlefield, return the exiled cards to the battlefield under their ownerﾒs control.";
Havoc Festival;RTR;1;R;Gld;4BR;Enchantment;;"Players canﾒt gain life.
At the beginning of each playerﾒs upkeep, that player loses half his or her life, rounded up.";
Unexpected Results;GTC;1;R;Gld;2GU;Sorcery;;Shuffle your library, then reveal the top card. If itﾒs a nonland card, you may cast it without paying its mana cost. If itﾒs a land card, you may put it onto the battlefield and return Unexpected Results to its ownerﾒs hand.;
Vandalblast;RTR;2;U;R;R;Sorcery;;"Destroy target artifact you donﾒt control.
Overload %4%R #(You may cast this spell for its overload cost. If you do, change its text by replacing all instances of ﾓtargetﾔ with ﾓeach.ﾔ)#";
Heroes' Reunion;RTR;1;U;Gld;GW;Instant;;Target player gains 7 life.;
Shrieking Affliction;RTR;1;U;B;B;Enchantment;;At the beginning of each opponentﾒs upkeep, if that player has one or fewer cards in hand, he or she loses 3 life.;
Teleportal;RTR;1;U;Gld;UR;Sorcery;;"Target creature you control gets +1/+0 until end of turn and is unblockable this turn.
Overload %3%U%R #(You may cast this spell for its overload cost. If you do, change its text by replacing all instances of ﾓtargetﾔ with ﾓeach.ﾔ)#";
Urban Evolution;GTC;1;U;Gld;3GU;Sorcery;;Draw three cards. You may play an additional land this turn.;
Coerced Confession;GTC;2;U;Gld;4%V;Sorcery;;Target player puts the top four cards of his or her library into his or her graveyard. You draw a card for each creature card put into that graveyard this way.;
Gruul Charm;GTC;1;U;Gld;RG;Instant;;"Choose one ﾗ Creatures without flying canﾒt block this turn; or gain control of all permanents you own; or Gruul Charm deals 3 damage to each creature with flying.";
Murder Investigation;GTC;1;U;W;1W;Enchantment - Aura;;"Enchant creature you control
When enchanted creature dies, put X 1/1 white Soldier creature tokens onto the battlefield, where X is its power.";
Azorius Guildgate;RTR;17;C;Lnd;;Land - Gate;;"Azorius Guildgate enters the battlefield tapped.
%T: Add %W or %U to your mana pool.";
Hallowed Fountain;RTR;3;R;Lnd;;Land - Plains Island;;"#(%T: Add %W or %U to your mana pool.)#
As Hallowed Fountain enters the battlefield, you may pay 2 life. If you donﾒt, Hallowed Fountain enters the battlefield tapped.";
Orzhov Guildgate;GTC;8;C;Lnd;;Land - Gate;;"Orzhov Guildgate enters the battlefield tapped.
%T: Add %W or %B to your mana pool.";
Boros Guildgate;DGM;7;C;Lnd;;Land - Gate;;"Boros Guildgate enters the battlefield tapped.
%T: Add %R or %W to your mana pool.";
Sacred Foundry;GTC;2;R;Lnd;;Land - Mountain Plains;;"#(%T: Add %R or %W to your mana pool.)#
As Sacred Foundry enters the battlefield, you may pay 2 life. If you donﾒt, Sacred Foundry enters the battlefield tapped.";
Breeding Pool;GTC;2;R;Lnd;;Land - Forest Island;;"#(%T: Add %G or %U to your mana pool.)#
As Breeding Pool enters the battlefield, you may pay 2 life. If you donﾒt, Breeding Pool enters the battlefield tapped.";
Rakdos Guildgate;RTR;10;C;Lnd;;Land - Gate;;"Rakdos Guildgate enters the battlefield tapped.
%T: Add %B or %R to your mana pool.";
Blood Crypt;RTR;1;R;Lnd;;Land - Swamp Mountain;;"#(%T: Add %B or %R to your mana pool.)#
As Blood Crypt enters the battlefield, you may pay 2 life. If you donﾒt, Blood Crypt enters the battlefield tapped.";
Overgrown Tomb;RTR;1;R;Lnd;;Land - Swamp Forest;;"#(%T: Add %B or %G to your mana pool.)#
As Overgrown Tomb enters the battlefield, you may pay 2 life. If you donﾒt, Overgrown Tomb enters the battlefield tapped.";
Gruul Guildgate;GTC;6;C;Lnd;;Land - Gate;;"Gruul Guildgate enters the battlefield tapped.
%T: Add %R or %G to your mana pool.";
Stomping Ground;GTC;1;R;Lnd;;Land - Mountain Forest;;"#(%T: Add %R or %G to your mana pool.)#
As Stomping Ground enters the battlefield, you may pay 2 life. If you donﾒt, Stomping Ground enters the battlefield tapped.";
Cathedral of War;M13;1;R;Lnd;;Land;;"Cathedral of War enters the battlefield tapped.
Exalted #(Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)#
%T: Add %1 to your mana pool.";
Maze's End;DGM;2;M;Lnd;;Land;;"Mazeﾒs End enters the battlefield tapped.
%T: Add %1 to your mana pool.
%3, %T, Return Mazeﾒs End to its ownerﾒs hand: Search your library for a Gate card, put it onto the battlefield, then shuffle your library. If you control ten or more Gates with different names, you win the game.";
Rogue's Passage;RTR;2;U;Lnd;;Land;;"%T: Add %1 to your mana pool.
%4, %T: Target creature is unblockable this turn.";
Trostani's Judgment;RTR;1;C;W;5W;Instant;;Exile target creature, then populate. #(Put a token onto the battlefield thatﾒs a copy of a creature token you control.)#;
Riot Control;DGM;15;C;W;2W;Instant;;You gain 1 life for each creature your opponents control. Prevent all damage that would be dealt to you this turn.;
Renounce the Guilds;DGM;1;R;W;1W;Instant;;Each player sacrifices a multicolored permanent.;
Aerial Maneuver;GTC;3;C;W;1W;Instant;;Target creature gets +1/+1 and gains flying and first strike until end of turn.;
Shielded Passage;GTC;6;C;W;W;Instant;;Prevent all damage that would be dealt to target creature this turn.;
Lyev Decree;DGM;19;C;W;1W;Sorcery;;Detain up to two target creatures your opponents control. #(Until your next turn, those creatures canﾒt attack or block and their activated abilities canﾒt be activated.)#;
Wake the Reflections;DGM;18;C;W;W;Sorcery;;Populate. #(Put a token onto the battlefield thatﾒs a copy of a creature token you control.)#;
Sphere of Safety;RTR;2;U;W;4W;Enchantment;;Creatures canﾒt attack you or a planeswalker you control unless their controller pays %X for each of those creatures, where X is the number of enchantments you control.;
Debtor's Pulpit;GTC;1;U;W;4W;Enchantment - Aura;;"Enchant land
Enchanted land has ﾓ%T: Tap target creature.ﾔ";
Hold the Gates;GTC;3;U;W;2W;Enchantment;;Creatures you control get +0/+1 for each Gate you control and have vigilance.;
Ethereal Armor;RTR;1;C;W;W;Enchantment - Aura;;"Enchant creature
Enchanted creature gets +1/+1 for each enchantment you control and has first strike.";
Gridlock;GTC;2;U;U;XU;Instant;;Tap X target nonland permanents.;
Totally Lost;GTC;2;C;U;4U;Instant;;Put target nonland permanent on top of its ownerﾒs library.;
Scatter Arc;GTC;4;C;U;3U;Instant;;"Counter target noncreature spell.
Draw a card.";
therize;GTC;2;U;U;3U;Instant;;Return all attacking creatures to their ownerﾒs hand.;
Cancel;RTR;4;C;U;1UU;Instant;;Counter target spell.;
Spell Rupture;GTC;8;C;U;1U;Instant;;Counter target spell unless its controller pays %X, where X is the greatest power among creatures you control.;
Rapid Hybridization;GTC;1;U;U;U;Instant;;Destroy target creature. It canﾒt be regenerated. That creatureﾒs controller puts a 3/3 green Frog Lizard creature token onto the battlefield.;
Mizzium Skin;RTR;4;C;U;U;Instant;;"Target creature you control gets +0/+1 and gains hexproof until end of turn.
Overload %1%U #(You may cast this spell for its overload cost. If you do, change its text by replacing all instances of ﾓtargetﾔ with ﾓeach.ﾔ)#";
Downsize;RTR;4;C;U;U;Instant;;"Target creature you donﾒt control gets -4/-0 until end of turn.
Overload %2%U #(You may cast this spell for its overload cost. If you do, change its text by replacing all instances of ﾓtargetﾔ with ﾓeach.ﾔ)#";
Dispel;RTR;3;C;U;U;Instant;;Counter target instant spell.;
Blustersquall;RTR;2;U;U;U;Instant;;"Tap target creature you donﾒt control.
Overload %3%U #(You may cast this spell for its overload cost. If you do, change its text by replacing all instances of ﾓtargetﾔ with ﾓeach.ﾔ)#";
Uncovered Clues;DGM;11;C;U;2U;Sorcery;;Look at the top four cards of your library. You may reveal up to two instant and/or sorcery cards from among them and put the revealed cards into your hand. Put the rest on the bottom of your library in any order.;
Last Thoughts;GTC;5;C;U;3U;Sorcery;;"Draw a card.
Cipher #(Then you may exile this spell card encoded on a creature you control. Whenever that creature deals combat damage to a player, its controller may cast a copy of the encoded card without paying its mana cost.)#";
Hidden Strings;DGM;16;C;U;1U;Sorcery;;"You may tap or untap target permanent, then you may tap or untap another target permanent.
Cipher #(Then you may exile this spell card encoded on a creature you control. Whenever that creature deals combat damage to a player, its controller may cast a copy of the encoded card without paying its mana cost.)#";
Trait Doctoring;DGM;1;R;U;U;Sorcery;;"Change the text of target permanent by replacing all instances of one color word with another or one basic land type with another until end of turn.
Cipher #(Then you may exile this spell card encoded on a creature you control. Whenever that creature deals combat damage to a player, its controller may cast a copy of the encoded card without paying its mana cost.)#";
Skygames;GTC;3;C;U;1U;Enchantment - Aura;;"Enchant land
Enchanted land has ﾓ%T: Target creature gains flying until end of turn. Activate this ability only any time you could cast a sorcery.ﾔ";
Runner's Bane;DGM;10;C;U;1U;Enchantment - Aura;;"Enchant creature with power 3 or less
When Runnerﾒs Bane enters the battlefield, tap enchanted creature.
Enchanted creature doesnﾒt untap during its controllerﾒs untap step.";
Agoraphobia;GTC;3;U;U;1U;Enchantment - Aura;;"Enchant creature
Enchanted creature gets -5/-0.
%2%U: Return Agoraphobia to its ownerﾒs hand.";
Cloudshift;AVR;2;C;W;W;Instant;;Exile target creature you control, then return that card to the battlefield under your control.;
Fatal Fumes;DGM;15;C;B;3B;Instant;;Target creature gets -4/-2 until end of turn.;
Crypt Incursion;DGM;7;C;B;2B;Instant;;Exile all creature cards from target playerﾒs graveyard. You gain 3 life for each card exiled this way.;
Devour Flesh;GTC;4;C;B;1B;Instant;;Target player sacrifices a creature, then gains life equal to that creatureﾒs toughness.;
Shadow Slice;GTC;4;C;B;4B;Sorcery;;"Target opponent loses 3 life.
Cipher #(Then you may exile this spell card encoded on a creature you control. Whenever that creature deals combat damage to a player, its controller may cast a copy of the encoded card without paying its mana cost.)#";
Midnight Recovery;GTC;3;C;B;3B;Sorcery;;"Return target creature card from your graveyard to your hand.
Cipher #(Then you may exile this spell card encoded on a creature you control. Whenever that creature deals combat damage to a player, its controller may cast a copy of the encoded card without paying its mana cost.)#";
Dying Wish;GTC;2;U;B;1B;Enchantment - Aura;;"Enchant creature you control
When enchanted creature dies, target player loses X life and you gain X life, where X is its power.";
Sinister Possession;DGM;17;C;B;B;Enchantment - Aura;;"Enchant creature
Whenever enchanted creature attacks or blocks, its controller loses 2 life.";
Death's Approach;GTC;2;C;B;B;Enchantment - Aura;;"Enchant creature
Enchanted creature gets -X/-X, where X is the number of creature cards in its controllerﾒs graveyard.";
Structural Collapse;GTC;5;C;R;5R;Sorcery;;Target player sacrifices an artifact and a land. Structural Collapse deals 2 damage to that player.;
Explosive Impact;RTR;3;C;R;5R;Instant;;Explosive Impact deals 5 damage to target creature or player.;
Skullcrack;GTC;2;U;R;1R;Instant;;Players canﾒt gain life this turn. Damage canﾒt be prevented this turn. Skullcrack deals 3 damage to target player.;
Weapon Surge;DGM;12;C;R;R;Instant;;"Target creature you control gets +1/+0 and gains first strike until end of turn.
Overload %1%R #(You may cast this spell for its overload cost. If you do, change its text by replacing all instances of ﾓtargetﾔ with ﾓeach.ﾔ)#";
Furious Resistance;GTC;5;C;R;R;Instant;;Target blocking creature gets +3/+0 and gains first strike until end of turn.;
Dynacharge;RTR;4;C;R;R;Instant;;"Target creature you control gets +2/+0 until end of turn.
Overload %2%R #(You may cast this spell for its overload cost. If you do, change its text by replacing all instances of ﾓtargetﾔ with ﾓeach.ﾔ)#";
Traitorous Instinct;RTR;1;C;R;3R;Sorcery;;Gain control of target creature until end of turn. Untap that creature. Until end of turn, it gets +2/+0 and gains haste.;
Clear a Path;DGM;14;C;R;R;Sorcery;;Destroy target creature with defender.;
Possibility Storm;DGM;1;R;R;3RR;Enchantment;;Whenever a player casts a spell from his or her hand, that player exiles it, then exiles cards from the top of his or her library until he or she exiles a card that shares a card type with it. That player may cast that card without paying its mana cost. Then he or she puts all cards exiled with Possibility Storm on the bottom of his or her library in a random order.;
Tin Street Market;GTC;4;C;R;4R;Enchantment - Aura;;"Enchant land
Enchanted land has ﾓ%T, Discard a card: Draw a card.ﾔ";
Pyroconvergence;RTR;1;U;R;4R;Enchantment;;Whenever you cast a multicolored spell, Pyroconvergence deals 2 damage to target creature or player.;
Madcap Skills;GTC;3;C;R;1R;Enchantment - Aura;;"Enchant creature
Enchanted creature gets +3/+0 and canﾒt be blocked except by two or more creatures.";
Racecourse Fury;RTR;2;U;R;R;Enchantment - Aura;;"Enchant land
Enchanted land has ﾓ%T: Target creature gains haste until end of turn.ﾔ";
Predator's Rapport;GTC;4;C;G;2G;Instant;;Choose target creature you control. You gain life equal to that creatureﾒs power plus its toughness.;
Hindervines;GTC;3;U;G;2G;Instant;;Prevent all combat damage that would be dealt this turn by creatures with no +1/+1 counters on them.;
Wildwood Rebirth;GTC;3;C;G;1G;Instant;;Return target creature card from your graveyard to your hand.;
Mutant's Prey;DGM;15;C;G;G;Instant;;Target creature you control with a +1/+1 counter on it fights target creature an opponent controls. #(Each deals damage equal to its power to the other.)#;
Burst of Strength;GTC;4;C;G;G;Instant;;Put a +1/+1 counter on target creature and untap it.;
Horncaller's Chant;RTR;2;C;G;7G;Sorcery;;Put a 4/4 green Rhino creature token with trample onto the battlefield, then populate. #(Put a token onto the battlefield thatﾒs a copy of a creature token you control.)#;
Miming Slime;GTC;1;U;G;2G;Sorcery;;Put an X/X green Ooze creature token onto the battlefield, where X is the greatest power among creatures you control.;
Phytoburst;DGM;14;C;G;1G;Sorcery;;Target creature gets +5/+5 until end of turn.;
Prey Upon;ISD;1;C;G;G;Sorcery;;Target creature you control fights target creature you donﾒt control. #(Each deals damage equal to its power to the other.)#;
Serene Remembrance;GTC;1;U;G;G;Sorcery;;Shuffle Serene Remembrance and up to three target cards from a single graveyard into their ownersﾒ libraries.;
Urban Burgeoning;RTR;3;C;G;G;Enchantment - Aura;;"Enchant land
Enchanted land has ﾓUntap this land during each other playerﾒs untap step.ﾔ";
Armed/Dangerous;DGM;5;U;Gld;1R/3G;Sorcery/Sorcery;;"Target creature gets +1/+1 and gains double strike until end of turn.
//
All creatures able to block target creature this turn do so.
//
Fuse #(You may cast one or both halves of this card from your hand.)#";
Down/Dirty;DGM;5;U;Gld;3B/2G;Sorcery/Sorcery;;"Target player discards two cards.
//
Return target card from your graveyard to your hand.
//
Fuse #(You may cast one or both halves of this card from your hand.)#";
Toil/Trouble;DGM;5;U;Gld;2B/2R;Sorcery/Sorcery;;"Target player draws two cards and loses 2 life.
//
Trouble deals damage to target player equal to the number of cards in that playerﾒs hand.
//
Fuse #(You may cast one or both halves of this card from your hand.)#";
Bioshift;GTC;5;C;Gld;%S;Instant;;Move any number of +1/+1 counters from target creature onto another target creature with the same controller.;
Give/Take;DGM;6;U;Gld;2G/2U;Sorcery/Sorcery;;"Put three +1/+1 counters on target creature.
//
Remove all +1/+1 counters from target creature you control. Draw that many cards.
//
Fuse #(You may cast one or both halves of this card from your hand.)#";
Turn/Burn;DGM;8;U;Gld;2U/1R;Instant/Instant;;"Target creature loses all abilities and becomes a 0/1 red Weird until end of turn.
//
Burn deals 2 damage to target creature or player.
//
Fuse #(You may cast one or both halves of this card from your hand.)#";
Far/Away;DGM;5;U;Gld;1U/2B;Instant/Instant;;"Return target creature to its ownerﾒs hand.
//
Target player sacrifices a creature.
//
Fuse #(You may cast one or both halves of this card from your hand.)#";
Alive/Well;DGM;8;U;Gld;3G/W;Sorcery/Sorcery;;"Put a 3/3 green Centaur creature token onto the battlefield.
//
You gain 2 life for each creature you control.
//
Fuse #(You may cast one or both halves of this card from your hand.)#";
Wear/Tear;DGM;8;U;Gld;1R/W;Instant/Instant;;"Destroy target artifact.
//
Destroy target enchantment.
//
Fuse #(You may cast one or both halves of this card from your hand.)#";
Arrows of Justice;GTC;7;U;Gld;2%P;Instant;;Arrows of Justice deals 4 damage to target attacking or blocking creature.;
Shattering Blow;GTC;2;C;Gld;1%P;Instant;;Exile target artifact.;
Profit/Loss;DGM;2;U;Gld;1W/2B;Instant/Instant;;"Creatures you control get +1/+1 until end of turn.
//
Creatures your opponents control get -1/-1 until end of turn.
//
Fuse #(You may cast one or both halves of this card from your hand.)#";
Beckon Apparition;GTC;3;C;Gld;%O;Instant;;Exile target card from a graveyard. Put a 1/1 white and black Spirit creature token with flying onto the battlefield.;
Gift of Orzhova;GTC;1;U;Gld;1%O%O;Enchantment - Aura;;"Enchant creature
Enchanted creature gets +1/+1 and has flying and lifelink.";
Protect/Serve;DGM;5;U;Gld;2W/1U;Instant/Instant;;"Target creature gets +2/+4 until end of turn.
//
Target creature gets -6/-0 until end of turn.
//
Fuse #(You may cast one or both halves of this card from your hand.)#";
Render Silent;DGM;3;R;Gld;WUU;Instant;;Counter target spell. Its controller canﾒt cast spells this turn.;
Restore the Peace;DGM;8;U;Gld;1WU;Instant;;Return each creature that dealt damage this turn to its ownerﾒs hand.;
Search Warrant;RTR;2;C;Gld;WU;Sorcery;;Target player reveals his or her hand. You gain life equal to the number of cards in that playerﾒs hand.;
