Comment,Name,Color,Text,P/T,Rarity,Edition,Cost,Stars,Qty,Type
,Defy Death,W,"Return target creature card from your graveyard to the battlefield. If itﾒs an Angel, put two +1/+1 counters on it.",,U,AVR,3WW,3.790,1,Sorcery
,Seraph Sanctuary,Lnd,"When Seraph Sanctuary enters the battlefield, you gain 1 life.
Whenever an Angel enters the battlefield under your control, you gain 1 life.
%T: Add %1 to your mana pool.",,C,AVR,,2.920,1,Land
,Scroll of Avacyn,Art,"%1, Sacrifice Scroll of Avacyn: Draw a card. If you control an Angel, you gain 5 life.",,C,AVR,1,2.962,2,Artifact
,Bladed Bracers,Art,"Equipped creature gets +1/+1.
As long as equipped creature is a Human or an Angel, it has vigilance.
Equip %2 #(%2: Attach to target creature you control. Equip only as a sorcery.)#",,C,AVR,1,2.667,1,Artifact - Equipment
,Vampiric Fury,R,Vampire creatures you control get +2/+0 and gain first strike until end of turn.,,C,ISD,1R,3.531,2,Instant
,Gather the Townsfolk,W,"Put two 1/1 white Human creature tokens onto the battlefield.
#Fateful hour# ﾗ If you have 5 or less life, put five of those tokens onto the battlefield instead.",,C,DKA,1W,3.856,1,Sorcery
,Commander's Authority,W,"Enchant creature
Enchanted creature has ﾓAt the beginning of your upkeep, put a 1/1 white Human creature token onto the battlefield.ﾔ",,U,AVR,4W,2.048,1,Enchantment - Aura
,Bonds of Faith,W,"Enchant creature
Enchanted creature gets +2/+2 as long as itﾒs a Human. Otherwise, it canﾒt attack or block.",,C,ISD,1W,3.357,2,Enchantment - Aura
,Heavy Mattock,Art,"Equipped creature gets +1/+1.
As long as equipped creature is a Human, it gets an additional +1/+1.
Equip %2 #(%2: Attach to target creature you control. Equip only as a sorcery.)#",,C,DKA,3,1.174,1,Artifact - Equipment
,Ghoulcaller's Bell,Art,%T: Each player puts the top card of his or her library into his or her graveyard.,,C,ISD,1,2.552,1,Artifact
,Urgent Exorcism,W,Destroy target Spirit or enchantment.,,C,ISD,1W,2.780,1,Instant
,Thought Scour,U,"Target player puts the top two cards of his or her library into his or her graveyard.
Draw a card.",,C,DKA,U,4.250,1,Instant
,Curse of the Bloody Tome,U,"Enchant player
At the beginning of enchanted playerﾒs upkeep, that player puts the top two cards of his or her library into his or her graveyard.",,C,ISD,2U,3.313,1,Enchantment - Aura Curse
,Ghoulcaller's Chant,B,Choose one ﾗ Return target creature card from your graveyard to your hand; or return two target Zombie cards from your graveyard to your hand.,,C,ISD,B,3.814,1,Sorcery
,Dead Weight,B,"Enchant creature
Enchanted creature gets -2/-2.",,C,ISD,B,3.787,1,Enchantment - Aura
,Victim of Night,B,"Destroy target non-Vampire, non-Werewolf, non-Zombie creature.",,C,ISD,BB,3.863,2,Instant
,Traitorous Blood,R,Gain control of target creature until end of turn. Untap it. It gains trample and haste until end of turn.,,C,ISD,1RR,3.829,1,Sorcery
,Brimstone Volley,R,"Brimstone Volley deals 3 damage to target creature or player.
#Morbid# ﾗ Brimstone Volley deals 5 damage to that creature or player instead if a creature died this turn.",,C,ISD,2R,4.125,1,Instant
,Demolish,R,Destroy target artifact or land.,,C,AVR,3R,5,1,Sorcery
,Pillar of Flame,R,"Pillar of Flame deals 2 damage to target creature or player. If a creature dealt damage this way would die this turn, exile it instead.",,C,AVR,R,3.825,2,Sorcery
,Natural End,G,Destroy target artifact or enchantment. You gain 3 life.,,C,AVR,2G,2.895,1,Instant
,Prophetic Prism,Art,"When Prophetic Prism enters the battlefield, draw a card.
%1, %T: Add one mana of any color to your mana pool.",,C,CMD,2,3.865,1,Artifact
,Paralyzing Grasp,U,"Enchant creature
Enchanted creature doesnﾒt untap during its controllerﾒs untap step.",,C,ZEN,2U,2.523,1,Enchantment - Aura
,Conjured Currency,U,"At the beginning of your upkeep, you may exchange control of Conjured Currency and target permanent you neither own nor control.",,R,RTR,5U,2.768,1,Enchantment
,Izzet Charm,Gld,"Choose one ﾗ Counter target noncreature spell unless its controller pays %2; or Izzet Charm deals 2 damage to target creature; or draw two cards, then discard two cards.",,U,RTR,UR,4.252,2,Instant
,Inspiration,U,Target player draws two cards.,,C,RTR,3U,3.508,1,Instant
,Mystic Genesis,Gld,"Counter target spell. Put an X/X green Ooze creature token onto the battlefield, where X is that spellﾒs converted mana cost.",,R,GTC,2GUU,3.388,1,Instant
,Naturalize,G,Destroy target artifact or enchantment.,,C,GTC,1G,5,2,Instant
,Chorus of Might,G,"Until end of turn, target creature gets +1/+1 for each creature you control and gains trample.",,C,RTR,3G,2.167,2,Instant
,Syncopate,U,"Counter target spell unless its controller pays %X. If that spell is countered this way, exile it instead of putting it into its ownerﾒs graveyard.",,U,RTR,XU,3.883,1,Instant
,Undercity Plague,B,"Target player loses 1 life, discards a card, then sacrifices a permanent.
Cipher #(Then you may exile this spell card encoded on a creature you control. Whenever that creature deals combat damage to a player, its controller may cast a copy of the encoded card without paying its mana cost.)#",,R,GTC,4BB,3.127,1,Sorcery
,Counterflux,Gld,"Counterflux canﾒt be countered by spells or abilities.
Counter target spell you donﾒt control.
Overload %1%U%U%R #(You may cast this spell for its overload cost. If you do, change its text by replacing all instances of ﾓtargetﾔ with ﾓeach.ﾔ)#",,R,RTR,UUR,3.695,1,Instant
,Savage Surge,G,Target creature gets +2/+2 until end of turn. Untap that creature.,,U,RTR,1G,3.276,1,Instant
,Paralyzing Grasp,U,"Enchant creature
Enchanted creature doesnﾒt untap during its controllerﾒs untap step.",,C,RTR,2U,2.523,2,Enchantment - Aura
,Selesnya Keyrune,Art,"%T: Add %G or %W to your mana pool.
%G%W: Selesnya Keyrune becomes a 3/3 green and white Wolf artifact creature until end of turn.",,U,RTR,3,3.348,1,Artifact
,Psychic Spiral,U,Shuffle all cards from your graveyard into your library. Target player puts that many cards from the top of his or her library into his or her graveyard.,,U,RTR,4U,3.597,1,Instant
,Survey the Wreckage,R,Destroy target land. Put a 1/1 red Goblin creature token onto the battlefield.,,C,RTR,4R,1.398,1,Sorcery
,Rakdos Guildgate,Lnd,"Rakdos Guildgate enters the battlefield tapped.
%T: Add %B or %R to your mana pool.",,C,DGM,,3.208,6,Land - Gate
,Swamp (5),Lnd,,,C,RTR,,0.000,1,Basic Land - Swamp
,Forest (3),Lnd,,,C,M13,,0.000,1,Basic Land - Forest
,Plains (1),Lnd,,,C,ISD,,0.000,1,Basic Land - Plains
,Mountain (4),Lnd,,,C,RTR,,0.000,1,Basic Land - Mountain
,Island (2),Lnd,,,C,M13,,0.000,1,Basic Land - Island
,Rakdos's Return,Gld,Rakdosﾒs Return deals X damage to target opponent. That player discards X cards.,,M,RTR,XBR,4.009,1,Sorcery
,Slaughter Games,Gld,"Slaughter Games canﾒt be countered by spells or abilities.
Name a nonland card. Search target opponentﾒs graveyard, hand, and library for any number of cards with that name and exile them. Then that player shuffles his or her library.",,R,RTR,2BR,4.078,2,Sorcery
,Detention Sphere,Gld,"When Detention Sphere enters the battlefield, you may exile target nonland permanent not named Detention Sphere and all other permanents with the same name as that permanent.
When Detention Sphere leaves the battlefield, return the exiled cards to the battlefield under their ownerﾒs control.",,R,RTR,1WU,4.072,1,Enchantment
,Havoc Festival,Gld,"Players canﾒt gain life.
At the beginning of each playerﾒs upkeep, that player loses half his or her life, rounded up.",,R,RTR,4BR,3.362,1,Enchantment
,Unexpected Results,Gld,"Shuffle your library, then reveal the top card. If itﾒs a nonland card, you may cast it without paying its mana cost. If itﾒs a land card, you may put it onto the battlefield and return Unexpected Results to its ownerﾒs hand.",,R,GTC,2GU,3.512,1,Sorcery
,Vandalblast,R,"Destroy target artifact you donﾒt control.
Overload %4%R #(You may cast this spell for its overload cost. If you do, change its text by replacing all instances of ﾓtargetﾔ with ﾓeach.ﾔ)#",,U,RTR,R,3.759,2,Sorcery
,Heroes' Reunion,Gld,Target player gains 7 life.,,U,RTR,GW,3.715,1,Instant
,Shrieking Affliction,B,"At the beginning of each opponentﾒs upkeep, if that player has one or fewer cards in hand, he or she loses 3 life.",,U,RTR,B,3.568,1,Enchantment
,Teleportal,Gld,"Target creature you control gets +1/+0 until end of turn and is unblockable this turn.
Overload %3%U%R #(You may cast this spell for its overload cost. If you do, change its text by replacing all instances of ﾓtargetﾔ with ﾓeach.ﾔ)#",,U,RTR,UR,3.727,1,Sorcery
,Urban Evolution,Gld,Draw three cards. You may play an additional land this turn.,,U,GTC,3GU,5,1,Sorcery
,Coerced Confession,Gld,Target player puts the top four cards of his or her library into his or her graveyard. You draw a card for each creature card put into that graveyard this way.,,U,GTC,4%V,2.200,2,Sorcery
,Gruul Charm,Gld,Choose one ﾗ Creatures without flying canﾒt block this turn; or gain control of all permanents you own; or Gruul Charm deals 3 damage to each creature with flying.,,U,GTC,RG,3.121,1,Instant
,Murder Investigation,W,"Enchant creature you control
When enchanted creature dies, put X 1/1 white Soldier creature tokens onto the battlefield, where X is its power.",,U,GTC,1W,5,1,Enchantment - Aura
,Azorius Guildgate,Lnd,"Azorius Guildgate enters the battlefield tapped.
%T: Add %W or %U to your mana pool.",,C,RTR,,3.656,17,Land - Gate
,Hallowed Fountain,Lnd,"#(%T: Add %W or %U to your mana pool.)#
As Hallowed Fountain enters the battlefield, you may pay 2 life. If you donﾒt, Hallowed Fountain enters the battlefield tapped.",,R,RTR,,4.278,3,Land - Plains Island
,Orzhov Guildgate,Lnd,"Orzhov Guildgate enters the battlefield tapped.
%T: Add %W or %B to your mana pool.",,C,GTC,,3.208,8,Land - Gate
,Boros Guildgate,Lnd,"Boros Guildgate enters the battlefield tapped.
%T: Add %R or %W to your mana pool.",,C,DGM,,3.636,7,Land - Gate
,Sacred Foundry,Lnd,"#(%T: Add %R or %W to your mana pool.)#
As Sacred Foundry enters the battlefield, you may pay 2 life. If you donﾒt, Sacred Foundry enters the battlefield tapped.",,R,GTC,,4.106,2,Land - Mountain Plains
,Breeding Pool,Lnd,"#(%T: Add %G or %U to your mana pool.)#
As Breeding Pool enters the battlefield, you may pay 2 life. If you donﾒt, Breeding Pool enters the battlefield tapped.",,R,GTC,,4.126,2,Land - Forest Island
,Rakdos Guildgate,Lnd,"Rakdos Guildgate enters the battlefield tapped.
%T: Add %B or %R to your mana pool.",,C,RTR,,3.208,10,Land - Gate
,Blood Crypt,Lnd,"#(%T: Add %B or %R to your mana pool.)#
As Blood Crypt enters the battlefield, you may pay 2 life. If you donﾒt, Blood Crypt enters the battlefield tapped.",,R,RTR,,4.255,1,Land - Swamp Mountain
,Overgrown Tomb,Lnd,"#(%T: Add %B or %G to your mana pool.)#
As Overgrown Tomb enters the battlefield, you may pay 2 life. If you donﾒt, Overgrown Tomb enters the battlefield tapped.",,R,RTR,,4.303,1,Land - Swamp Forest
,Gruul Guildgate,Lnd,"Gruul Guildgate enters the battlefield tapped.
%T: Add %R or %G to your mana pool.",,C,GTC,,3.679,6,Land - Gate
,Stomping Ground,Lnd,"#(%T: Add %R or %G to your mana pool.)#
As Stomping Ground enters the battlefield, you may pay 2 life. If you donﾒt, Stomping Ground enters the battlefield tapped.",,R,GTC,,4.095,1,Land - Mountain Forest
,Cathedral of War,Lnd,"Cathedral of War enters the battlefield tapped.
Exalted #(Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)#
%T: Add %1 to your mana pool.",,R,M13,,3.839,1,Land
,Maze's End,Lnd,"Mazeﾒs End enters the battlefield tapped.
%T: Add %1 to your mana pool.
%3, %T, Return Mazeﾒs End to its ownerﾒs hand: Search your library for a Gate card, put it onto the battlefield, then shuffle your library. If you control ten or more Gates with different names, you win the game.",,M,DGM,,2.976,2,Land
,Rogue's Passage,Lnd,"%T: Add %1 to your mana pool.
%4, %T: Target creature is unblockable this turn.",,U,RTR,,5,2,Land
,Trostani's Judgment,W,"Exile target creature, then populate. #(Put a token onto the battlefield thatﾒs a copy of a creature token you control.)#",,C,RTR,5W,2.545,1,Instant
,Riot Control,W,You gain 1 life for each creature your opponents control. Prevent all damage that would be dealt to you this turn.,,C,DGM,2W,3.638,15,Instant
,Renounce the Guilds,W,Each player sacrifices a multicolored permanent.,,R,DGM,1W,3.127,1,Instant
,Aerial Maneuver,W,Target creature gets +1/+1 and gains flying and first strike until end of turn.,,C,GTC,1W,2.598,3,Instant
,Shielded Passage,W,Prevent all damage that would be dealt to target creature this turn.,,C,GTC,W,2.000,6,Instant
,Lyev Decree,W,"Detain up to two target creatures your opponents control. #(Until your next turn, those creatures canﾒt attack or block and their activated abilities canﾒt be activated.)#",,C,DGM,1W,2.853,19,Sorcery
,Wake the Reflections,W,Populate. #(Put a token onto the battlefield thatﾒs a copy of a creature token you control.)#,,C,DGM,W,3.510,18,Sorcery
,Sphere of Safety,W,"Creatures canﾒt attack you or a planeswalker you control unless their controller pays %X for each of those creatures, where X is the number of enchantments you control.",,U,RTR,4W,3.423,2,Enchantment
,Debtor's Pulpit,W,"Enchant land
Enchanted land has ﾓ%T: Tap target creature.ﾔ",,U,GTC,4W,1.791,1,Enchantment - Aura
,Hold the Gates,W,Creatures you control get +0/+1 for each Gate you control and have vigilance.,,U,GTC,2W,2.948,3,Enchantment
,Ethereal Armor,W,"Enchant creature
Enchanted creature gets +1/+1 for each enchantment you control and has first strike.",,C,RTR,W,3.977,1,Enchantment - Aura
,Gridlock,U,Tap X target nonland permanents.,,U,GTC,XU,2.946,2,Instant
,Totally Lost,U,Put target nonland permanent on top of its ownerﾒs library.,,C,GTC,4U,2.910,2,Instant
,Scatter Arc,U,"Counter target noncreature spell.
Draw a card.",,C,GTC,3U,2.420,4,Instant
,therize,U,Return all attacking creatures to their ownerﾒs hand.,,U,GTC,3U,5,2,Instant
,Cancel,U,Counter target spell.,,C,RTR,1UU,2.700,4,Instant
,Spell Rupture,U,"Counter target spell unless its controller pays %X, where X is the greatest power among creatures you control.",,C,GTC,1U,3.303,8,Instant
,Rapid Hybridization,U,Destroy target creature. It canﾒt be regenerated. That creatureﾒs controller puts a 3/3 green Frog Lizard creature token onto the battlefield.,,U,GTC,U,3.911,1,Instant
,Mizzium Skin,U,"Target creature you control gets +0/+1 and gains hexproof until end of turn.
Overload %1%U #(You may cast this spell for its overload cost. If you do, change its text by replacing all instances of ﾓtargetﾔ with ﾓeach.ﾔ)#",,C,RTR,U,3.283,4,Instant
,Downsize,U,"Target creature you donﾒt control gets -4/-0 until end of turn.
Overload %2%U #(You may cast this spell for its overload cost. If you do, change its text by replacing all instances of ﾓtargetﾔ with ﾓeach.ﾔ)#",,C,RTR,U,2.709,4,Instant
,Dispel,U,Counter target instant spell.,,C,RTR,U,3.481,3,Instant
,Blustersquall,U,"Tap target creature you donﾒt control.
Overload %3%U #(You may cast this spell for its overload cost. If you do, change its text by replacing all instances of ﾓtargetﾔ with ﾓeach.ﾔ)#",,U,RTR,U,3.303,2,Instant
,Uncovered Clues,U,Look at the top four cards of your library. You may reveal up to two instant and/or sorcery cards from among them and put the revealed cards into your hand. Put the rest on the bottom of your library in any order.,,C,DGM,2U,2.875,11,Sorcery
,Last Thoughts,U,"Draw a card.
Cipher #(Then you may exile this spell card encoded on a creature you control. Whenever that creature deals combat damage to a player, its controller may cast a copy of the encoded card without paying its mana cost.)#",,C,GTC,3U,2.585,5,Sorcery
,Hidden Strings,U,"You may tap or untap target permanent, then you may tap or untap another target permanent.
Cipher #(Then you may exile this spell card encoded on a creature you control. Whenever that creature deals combat damage to a player, its controller may cast a copy of the encoded card without paying its mana cost.)#",,C,DGM,1U,3.890,16,Sorcery
,Trait Doctoring,U,"Change the text of target permanent by replacing all instances of one color word with another or one basic land type with another until end of turn.
Cipher #(Then you may exile this spell card encoded on a creature you control. Whenever that creature deals combat damage to a player, its controller may cast a copy of the encoded card without paying its mana cost.)#",,R,DGM,U,1.511,1,Sorcery
,Skygames,U,"Enchant land
Enchanted land has ﾓ%T: Target creature gains flying until end of turn. Activate this ability only any time you could cast a sorcery.ﾔ",,C,GTC,1U,2.019,3,Enchantment - Aura
,Runner's Bane,U,"Enchant creature with power 3 or less
When Runnerﾒs Bane enters the battlefield, tap enchanted creature.
Enchanted creature doesnﾒt untap during its controllerﾒs untap step.",,C,DGM,1U,2.700,10,Enchantment - Aura
,Agoraphobia,U,"Enchant creature
Enchanted creature gets -5/-0.
%2%U: Return Agoraphobia to its ownerﾒs hand.",,U,GTC,1U,3.500,3,Enchantment - Aura
,Cloudshift,W,"Exile target creature you control, then return that card to the battlefield under your control.",,C,AVR,W,3.955,2,Instant
,Fatal Fumes,B,Target creature gets -4/-2 until end of turn.,,C,DGM,3B,1.680,15,Instant
,Crypt Incursion,B,Exile all creature cards from target playerﾒs graveyard. You gain 3 life for each card exiled this way.,,C,DGM,2B,3.800,7,Instant
,Devour Flesh,B,"Target player sacrifices a creature, then gains life equal to that creatureﾒs toughness.",,C,GTC,1B,3.529,4,Instant
,Shadow Slice,B,"Target opponent loses 3 life.
Cipher #(Then you may exile this spell card encoded on a creature you control. Whenever that creature deals combat damage to a player, its controller may cast a copy of the encoded card without paying its mana cost.)#",,C,GTC,4B,2.472,4,Sorcery
,Midnight Recovery,B,"Return target creature card from your graveyard to your hand.
Cipher #(Then you may exile this spell card encoded on a creature you control. Whenever that creature deals combat damage to a player, its controller may cast a copy of the encoded card without paying its mana cost.)#",,C,GTC,3B,2.739,3,Sorcery
,Dying Wish,B,"Enchant creature you control
When enchanted creature dies, target player loses X life and you gain X life, where X is its power.",,U,GTC,1B,2.815,2,Enchantment - Aura
,Sinister Possession,B,"Enchant creature
Whenever enchanted creature attacks or blocks, its controller loses 2 life.",,C,DGM,B,2.528,17,Enchantment - Aura
,Death's Approach,B,"Enchant creature
Enchanted creature gets -X/-X, where X is the number of creature cards in its controllerﾒs graveyard.",,C,GTC,B,2.664,2,Enchantment - Aura
,Structural Collapse,R,Target player sacrifices an artifact and a land. Structural Collapse deals 2 damage to that player.,,C,GTC,5R,1.375,5,Sorcery
,Explosive Impact,R,Explosive Impact deals 5 damage to target creature or player.,,C,RTR,5R,2.269,3,Instant
,Skullcrack,R,Players canﾒt gain life this turn. Damage canﾒt be prevented this turn. Skullcrack deals 3 damage to target player.,,U,GTC,1R,3.978,2,Instant
,Weapon Surge,R,"Target creature you control gets +1/+0 and gains first strike until end of turn.
Overload %1%R #(You may cast this spell for its overload cost. If you do, change its text by replacing all instances of ﾓtargetﾔ with ﾓeach.ﾔ)#",,C,DGM,R,3.780,12,Instant
,Furious Resistance,R,Target blocking creature gets +3/+0 and gains first strike until end of turn.,,C,GTC,R,2.580,5,Instant
,Dynacharge,R,"Target creature you control gets +2/+0 until end of turn.
Overload %2%R #(You may cast this spell for its overload cost. If you do, change its text by replacing all instances of ﾓtargetﾔ with ﾓeach.ﾔ)#",,C,RTR,R,2.781,4,Instant
,Traitorous Instinct,R,"Gain control of target creature until end of turn. Untap that creature. Until end of turn, it gets +2/+0 and gains haste.",,C,RTR,3R,3.051,1,Sorcery
,Clear a Path,R,Destroy target creature with defender.,,C,DGM,R,1.750,14,Sorcery
,Possibility Storm,R,"Whenever a player casts a spell from his or her hand, that player exiles it, then exiles cards from the top of his or her library until he or she exiles a card that shares a card type with it. That player may cast that card without paying its mana cost. Then he or she puts all cards exiled with Possibility Storm on the bottom of his or her library in a random order.",,R,DGM,3RR,3.672,1,Enchantment
,Tin Street Market,R,"Enchant land
Enchanted land has ﾓ%T, Discard a card: Draw a card.ﾔ",,C,GTC,4R,1.167,4,Enchantment - Aura
,Pyroconvergence,R,"Whenever you cast a multicolored spell, Pyroconvergence deals 2 damage to target creature or player.",,U,RTR,4R,1.910,1,Enchantment
,Madcap Skills,R,"Enchant creature
Enchanted creature gets +3/+0 and canﾒt be blocked except by two or more creatures.",,C,GTC,1R,3.667,3,Enchantment - Aura
,Racecourse Fury,R,"Enchant land
Enchanted land has ﾓ%T: Target creature gains haste until end of turn.ﾔ",,U,RTR,R,2.659,2,Enchantment - Aura
,Predator's Rapport,G,Choose target creature you control. You gain life equal to that creatureﾒs power plus its toughness.,,C,GTC,2G,2.895,4,Instant
,Hindervines,G,Prevent all combat damage that would be dealt this turn by creatures with no +1/+1 counters on them.,,U,GTC,2G,2.191,3,Instant
,Wildwood Rebirth,G,Return target creature card from your graveyard to your hand.,,C,GTC,1G,2.366,3,Instant
,Mutant's Prey,G,Target creature you control with a +1/+1 counter on it fights target creature an opponent controls. #(Each deals damage equal to its power to the other.)#,,C,DGM,G,3.359,15,Instant
,Burst of Strength,G,Put a +1/+1 counter on target creature and untap it.,,C,GTC,G,2.947,4,Instant
,Horncaller's Chant,G,"Put a 4/4 green Rhino creature token with trample onto the battlefield, then populate. #(Put a token onto the battlefield thatﾒs a copy of a creature token you control.)#",,C,RTR,7G,2.271,2,Sorcery
,Miming Slime,G,"Put an X/X green Ooze creature token onto the battlefield, where X is the greatest power among creatures you control.",,U,GTC,2G,3.093,1,Sorcery
,Phytoburst,G,Target creature gets +5/+5 until end of turn.,,C,DGM,1G,3.629,14,Sorcery
,Prey Upon,G,Target creature you control fights target creature you donﾒt control. #(Each deals damage equal to its power to the other.)#,,C,ISD,G,3.906,1,Sorcery
,Serene Remembrance,G,Shuffle Serene Remembrance and up to three target cards from a single graveyard into their ownersﾒ libraries.,,U,GTC,G,3.026,1,Sorcery
,Urban Burgeoning,G,"Enchant land
Enchanted land has ﾓUntap this land during each other playerﾒs untap step.ﾔ",,C,RTR,G,2.868,3,Enchantment - Aura
,Armed/Dangerous,Gld,"Target creature gets +1/+1 and gains double strike until end of turn.
//
All creatures able to block target creature this turn do so.
//
Fuse #(You may cast one or both halves of this card from your hand.)#",,U,DGM,1R/3G,0.000,5,Sorcery/Sorcery
,Down/Dirty,Gld,"Target player discards two cards.
//
Return target card from your graveyard to your hand.
//
Fuse #(You may cast one or both halves of this card from your hand.)#",,U,DGM,3B/2G,0.000,5,Sorcery/Sorcery
,Toil/Trouble,Gld,"Target player draws two cards and loses 2 life.
//
Trouble deals damage to target player equal to the number of cards in that playerﾒs hand.
//
Fuse #(You may cast one or both halves of this card from your hand.)#",,U,DGM,2B/2R,0.000,5,Sorcery/Sorcery
,Bioshift,Gld,Move any number of +1/+1 counters from target creature onto another target creature with the same controller.,,C,GTC,%S,3.174,5,Instant
,Give/Take,Gld,"Put three +1/+1 counters on target creature.
//
Remove all +1/+1 counters from target creature you control. Draw that many cards.
//
Fuse #(You may cast one or both halves of this card from your hand.)#",,U,DGM,2G/2U,0.000,6,Sorcery/Sorcery
,Turn/Burn,Gld,"Target creature loses all abilities and becomes a 0/1 red Weird until end of turn.
//
Burn deals 2 damage to target creature or player.
//
Fuse #(You may cast one or both halves of this card from your hand.)#",,U,DGM,2U/1R,0.000,8,Instant/Instant
,Far/Away,Gld,"Return target creature to its ownerﾒs hand.
//
Target player sacrifices a creature.
//
Fuse #(You may cast one or both halves of this card from your hand.)#",,U,DGM,1U/2B,0.000,5,Instant/Instant
,Alive/Well,Gld,"Put a 3/3 green Centaur creature token onto the battlefield.
//
You gain 2 life for each creature you control.
//
Fuse #(You may cast one or both halves of this card from your hand.)#",,U,DGM,3G/W,0.000,8,Sorcery/Sorcery
